trip_id,vehicle_id,started_at,completed_at,pickup_zone,dropoff_zone,distance_miles,duration_seconds,delivery_status,fare_amount
T000001,V018,2026-09-03T20:48:00+00:00,2026-09-03T20:53:42+00:00,south,south,-4.7,342,completed,45.28
T000002,,2026-09-13T17:50:00+00:00,2026-09-13T17:59:56+00:00,west,north,1.02,596,completed,18.19
T000003,V036,2026-09-15T00:46:00+00:00,2026-09-15T00:51:48+00:00,south,central,7.84,348,completeed,39.95
T000004,V011,2026-09-01T11:32:00+00:00,2026-09-01T12:27:48+00:00,west,east,5.36,3348,completed,-12.5
T000005,V006,2026-09-08T23:49:00+00:00,2026-09-08T23:49:00+00:00,west,north,6.78,658,cancelled,40.83
T000007,V030,2026-09-02T07:43:00+00:00,2026-09-02T08:36:48+00:00,central,north,17.53,3228,cancelled,8.81
T000007,V040,2026-09-08T00:06:00+00:00,2026-09-08T00:52:54+00:00,east,central,3.87,2814,completed,6.8
T000008,V019,2026-09-06T12:27:00+00:00,2026-09-06T13:23:46+00:00,north,south,15.66,3406,cancelled,20.96
T000009,V024,2026-09-09T15:14:00+00:00,2026-09-09T15:29:06+00:00,east,south,12.23,906,in_progress,61.14
T000010,V011,2026-09-02T22:59:00+00:00,2026-09-02T23:44:35+00:00,central,south,3.36,2735,cancelled,20.47
T000011,V021,2026-09-14T00:10:00+00:00,2026-09-14T00:28:59+00:00,north,south,14.88,1139,cancelled,28.47
T000012,V037,2026-09-02T20:08:00+00:00,2026-09-02T20:26:24+00:00,east,south,11.97,1104,cancelled,57.97
T000013,V017,2026-09-11T18:35:00+00:00,2026-09-11T18:48:45+00:00,south,south,13.54,825,in_progress,20.03
T000014,V038,2026-09-14T15:15:00+00:00,2026-09-14T15:48:14+00:00,west,east,4.34,1994,completed,35.08
T000015,V004,2026-09-03T09:38:00+00:00,2026-09-03T10:33:35+00:00,north,south,11.48,3335,in_progress,29.75
T000016,V025,2026-09-02T18:41:00+00:00,2026-09-02T19:11:16+00:00,central,west,9.76,1816,in_progress,56.51
T000017,V008,2026-09-01T14:16:00+00:00,2026-09-01T15:06:26+00:00,central,east,13.95,3026,cancelled,10.8
T000018,V030,2026-09-11T05:26:00+00:00,2026-09-11T05:40:47+00:00,north,east,17.51,887,completed,34.97
T000019,V020,2026-09-03T18:06:00+00:00,2026-09-03T18:52:41+00:00,central,central,3.98,2801,cancelled,50.51
T000020,V034,2026-09-13T14:34:00+00:00,2026-09-13T15:31:09+00:00,north,central,6.17,3429,completed,10.82
T000021,V020,2026-09-09T14:14:00+00:00,2026-09-09T15:13:04+00:00,south,north,4.72,3544,in_progress,61.76
T000022,V032,2026-09-03T06:46:00+00:00,2026-09-03T07:39:57+00:00,north,central,13.9,3237,completed,44.24
T000023,V017,2026-09-13T20:15:00+00:00,2026-09-13T20:30:16+00:00,central,central,7.9,916,completed,60.66
T000024,V020,2026-09-05T21:51:00+00:00,2026-09-05T22:43:40+00:00,west,east,8.17,3160,in_progress,31.54
T000025,V005,2026-09-06T23:23:00+00:00,2026-09-06T23:42:20+00:00,east,north,10.8,1160,completed,39.89
T000026,V004,2026-09-01T11:55:00+00:00,2026-09-01T12:03:50+00:00,south,north,16.34,530,cancelled,8.32
T000027,V032,2026-09-06T17:58:00+00:00,2026-09-06T18:21:00+00:00,south,central,2.82,1380,in_progress,39.15
